Field Name,Field Type,# Records Have Values,% Populated,# Zeros,# Unique Values,Most Common
Rndrng_NPI,categorical,23480,100.0%,0,11001,1568849990
Rndrng_Prvdr_Last_Org_Name,categorical,23480,100.0%,0,8030,Patel
Rndrng_Prvdr_First_Name,categorical,21374,91.0%,2106,2795,Michael
Rndrng_Prvdr_MI,categorical,15277,65.1%,8203,26,A
Rndrng_Prvdr_Crdntls,categorical,20632,87.9%,2848,226,M.D.
Rndrng_Prvdr_Ent_Cd,categorical,23480,100.0%,0,2,I
Rndrng_Prvdr_St1,categorical,23480,100.0%,0,7615,200 1st St Sw
Rndrng_Prvdr_St2,categorical,5891,25.1%,17589,1167,Suite 100
Rndrng_Prvdr_City,categorical,23480,100.0%,0,1994,Phoenix
Rndrng_Prvdr_State_Abrvtn,categorical,23480,100.0%,0,53,FL
Rndrng_Prvdr_State_FIPS,categorical,23480,100.0%,0,53,12
Rndrng_Prvdr_Zip5,categorical,23480,100.0%,0,3415,32224
Rndrng_Prvdr_RUCA,categorical,23471,100.0%,9,18,1
Rndrng_Prvdr_RUCA_Desc,categorical,23471,100.0%,9,14,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater"
Rndrng_Prvdr_Cntry,categorical,23480,100.0%,0,1,US
Rndrng_Prvdr_Type,categorical,23480,100.0%,0,38,Pain Management
Rndrng_Prvdr_Mdcr_Prtcptg_Ind,categorical,23480,100.0%,0,1,Y
HCPCS_Cd,categorical,23480,100.0%,0,8,77002
HCPCS_Desc,categorical,23480,100.0%,0,8,Fluoroscopic guidance for needle placement
HCPCS_Drug_Ind,categorical,23480,100.0%,0,1,N
Place_Of_Srvc,categorical,23480,100.0%,0,2,F
