Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA_Desc,Total_Providers,Total_Beneficiaries,Avg_Allowed_Amt,Opportunity_Index,RUCA_Category,Rndrng_Prvdr_State_Abrvtn,Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_Type,Tot_Srvcs
86326,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,46,795.14983684,841.14983684,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",AZ,,,,,
81632,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,66,765.16599799,831.16599799,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",CO,,,,,
28470,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",1,464,361.214308448,825.214308448,"rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or uc",NC,,,,,
70560,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1,115,645.22154701,760.22154701,"micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",LA,,,,,
88310,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,22,722.24097561,744.24097561,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",NM,,,,,
89448,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,14,670.17181818,684.17181818,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",NV,,,,,
54467,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,25,648.41146341,673.41146341,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",WI,,,,,
72801,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,244,410.4467134415,654.4467134414999,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",AR,,,,,
72802,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1,68,584.879982455,652.879982455,"micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",AR,,,,,
73703,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,39,611.90655874,650.90655874,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",OK,,,,,
82716,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,18,622.235,640.235,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",WY,,,,,
56201,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,14,619.84625,633.84625,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",MN,,,,,
57006,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,15,604.70148148,619.70148148,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",SD,,,,,
72143,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,99,464.888189125,563.888189125,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",AR,,,,,
81416,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,28,531.849411765,559.849411765,"small town core: primary flow within an urban cluster of 2,500 to 9,999",CO,,,,,
43420,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,430,118.74457598675,548.74457598675,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",OH,,,,,
33040,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,101,443.3359023975,544.3359023974999,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",FL,,,,,
40601,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,220,322.801213068,542.8012130679999,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",KY,,,,,
48846,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,159,383.5476463579999,542.547646358,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",MI,,,,,
28468,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,248,280.284101734,528.2841017339999,"small town core: primary flow within an urban cluster of 2,500 to 9,999",NC,,,,,
29585,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,189,330.9435117666667,519.9435117666667,"small town core: primary flow within an urban cluster of 2,500 to 9,999",SC,,,,,
5255,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",1,76,436.73648844,512.73648844,"rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or uc",VT,,,,,
39180,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,193,314.8712380957143,507.8712380957143,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",MS,,,,,
48838,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,161,345.290929394,506.290929394,"small town core: primary flow within an urban cluster of 2,500 to 9,999",MI,,,,,
31501,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,60,444.15975,504.15975,"micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",GA,,,,,
