Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind,Place_Of_Srvc,Tot_Rndrng_Prvdrs,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt
National,,National,64624,Destruction of nerve branches of knee using imaging guidance,N,F,3963,12985,22612,21933,2366.5723886,368.76979126,290.04430214,290.96922033
National,,National,64624,Destruction of nerve branches of knee using imaging guidance,N,O,2244,9277,11275,11268,1602.1509366,362.5517561,283.36476896,284.88988293
National,,National,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,F,1912,5775,11831,10743,2906.8375463,438.05096864,342.1172496,350.08988927
National,,National,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,O,1084,4750,6263,6262,2128.736714,494.50952579,384.33960402,396.35552291
National,,National,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,F,5661,30584,70975,62448,3216.3009747,455.04276619,359.20334822,366.91753589
National,,National,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,O,3279,24775,31368,31366,2018.7381985,474.23254049,372.25426613,385.69526173
National,,National,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,3970,26670,37682,33094,905.80921713,73.951207473,58.759614405,59.493268139
National,,National,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,3160,23083,32982,29179,1056.3539443,273.06131526,217.7292881,226.34705779
National,,National,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,F,7317,103900,245653,203443,3314.079065,458.01219826,361.73005215,367.08651024
National,,National,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,O,4527,91470,116037,116030,2140.960133,514.62528857,404.0480589,414.52259702
National,,National,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,5434,93809,128990,114423,892.26405853,70.759552989,56.282871153,56.480049074
National,,National,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,4433,86676,123061,109955,1046.4558305,271.10513144,216.1561064,222.68956111
National,,National,64640,Destruction of peripheral nerve or branch,N,F,2477,10922,36809,15763,989.5541047,86.449759841,67.519757396,62.900043196
National,,National,64640,Destruction of peripheral nerve or branch,N,O,2795,15828,50714,22904,720.87383326,169.71801948,133.27698505,120.73325019
National,,National,77002,Fluoroscopic guidance for needle placement,N,F,14178,109699,132013,131950,175.42139357,27.561860802,21.324833236,21.428990705
National,,National,77002,Fluoroscopic guidance for needle placement,N,O,10599,179986,415989,415002,321.33775602,108.97608514,84.626843931,84.601783557
State,01,Alabama,64624,Destruction of nerve branches of knee using imaging guidance,N,F,38,135,198,197,938.85757576,215.12656566,167.45045455,186.90434343
State,01,Alabama,64624,Destruction of nerve branches of knee using imaging guidance,N,O,21,51,71,71,693.34830986,381.77422535,294.72535211,330.97887324
State,01,Alabama,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,F,12,35,39,39,1559.5589744,253.58794872,193.11205128,203.76974359
State,01,Alabama,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,O,12,23,26,26,1178.2842308,505.64076923,397.03846154,433.51653846
State,01,Alabama,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,F,51,202,325,297,1507.3430462,342.32341538,265.14347692,305.15366154
State,01,Alabama,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,O,43,418,515,515,1465.5043883,469.15071845,367.33427184,434.2278835
State,01,Alabama,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,40,179,300,207,443.67463333,70.019966667,55.296633333,60.743933333
State,01,Alabama,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,43,394,563,482,727.98301954,264.3839254,210.66053286,245.90708703
State,01,Alabama,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,F,79,1145,1810,1591,1819.4273149,352.5061326,277.39779558,314.29190055
State,01,Alabama,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,O,58,1619,2017,2017,1725.7050273,518.83137333,408.31216163,468.15363907
State,01,Alabama,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,66,1053,1702,1182,490.42588719,74.996621622,59.698578143,63.49673913
State,01,Alabama,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,57,1549,2225,1919,845.52564494,268.21668315,213.74008989,242.27235955
State,01,Alabama,64640,Destruction of peripheral nerve or branch,N,F,18,115,336,126,462.119375,71.417470238,56.425238095,53.879136905
State,01,Alabama,64640,Destruction of peripheral nerve or branch,N,O,35,220,1000,456,408.68062,163.93501,129.52721,126.60067
State,01,Alabama,77002,Fluoroscopic guidance for needle placement,N,F,248,1224,1407,1407,119.02522388,25.599509595,19.688862829,20.594875622
State,01,Alabama,77002,Fluoroscopic guidance for needle placement,N,O,131,1765,2791,2791,320.37784665,100.55253314,77.450376209,87.603471874
State,02,Alaska,64624,Destruction of nerve branches of knee using imaging guidance,N,O,6,31,49,49,5258.6734694,455.28346939,360.89469388,307.20938776
State,02,Alaska,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,O,4,11,11,11,3195.5,646.60090909,490.08,418.45545455
State,02,Alaska,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,F,10,30,60,52,4245.203,693.611,545.41283333,494.39083333
State,02,Alaska,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,O,14,69,87,87,4582.6206897,499.92206897,395.13011494,337.31494253
State,02,Alaska,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,3,12,13,13,2641.6153846,95.246923077,76.013076923,56.364615385
State,02,Alaska,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,13,58,77,75,2398.3896104,274.06766234,219.48064935,194.37363636
State,02,Alaska,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,F,14,83,182,140,5456.4527473,665.72752747,530.4893956,446.99049451
State,02,Alaska,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,O,16,184,228,228,6788.5082895,591.58315789,465.77486842,394.18065789
State,02,Alaska,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,7,38,54,43,2318.575,81.875,64.829074074,50.206296296
State,02,Alaska,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,16,158,195,195,3439.8529231,309.99671795,246.76984615,214.91497436
State,02,Alaska,64640,Destruction of peripheral nerve or branch,N,O,11,50,188,55,1221.6329787,166.26196809,132.19021277,95.34643617
State,02,Alaska,77002,Fluoroscopic guidance for needle placement,N,F,34,248,273,273,210.36296703,33.153516484,25.726776557,20.631355311
State,02,Alaska,77002,Fluoroscopic guidance for needle placement,N,O,61,684,841,841,764.22574316,128.11429251,98.182116528,85.572734839
State,04,Arizona,64624,Destruction of nerve branches of knee using imaging guidance,N,F,108,289,569,546,2086.5697364,445.62439367,352.34319859,360.79377856
State,04,Arizona,64624,Destruction of nerve branches of knee using imaging guidance,N,O,90,370,442,442,1202.6578054,386.42893665,302.02674208,311.67721719
State,04,Arizona,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,F,62,170,326,290,2798.657362,467.16868098,363.34981595,370.00613497
State,04,Arizona,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,O,53,209,271,271,1751.4756827,503.66479705,395.54594096,411.14298893
State,04,Arizona,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,F,150,1277,3211,2854,3166.3498256,481.61677359,380.4033977,392.92002491
State,04,Arizona,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,O,134,1792,2465,2465,1565.4514158,453.2711359,356.28757809,374.2539432
State,04,Arizona,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,92,988,1274,1259,759.29427002,72.905141287,57.913296703,59.212629513
State,04,Arizona,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,132,1686,2347,2315,760.40702599,267.61340435,212.40968044,223.13139753
State,04,Arizona,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,F,173,3617,9430,7702,3305.0797094,485.53069141,383.67255461,393.63601273
State,04,Arizona,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,O,156,5218,7090,7090,1727.6231551,508.45962482,399.53708039,416.93925106
State,04,Arizona,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,112,2955,3685,3656,738.47687653,69.878355495,55.51495251,56.684453189
State,04,Arizona,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,155,5059,6958,6867,791.91896953,277.32714429,220.59872665,230.77722765
State,04,Arizona,64640,Destruction of peripheral nerve or branch,N,F,85,326,1359,733,2024.4866667,106.12732892,83.56915379,82.08285504
State,04,Arizona,64640,Destruction of peripheral nerve or branch,N,O,102,737,2340,905,698.29779487,158.69031197,125.10964957,122.10694444
State,04,Arizona,77002,Fluoroscopic guidance for needle placement,N,F,252,2004,2468,2468,249.49662885,26.040384927,20.057832253,20.506799028
State,04,Arizona,77002,Fluoroscopic guidance for needle placement,N,O,347,8101,17798,17796,347.53923755,106.39577368,82.202863243,85.458990336
State,05,Arkansas,64624,Destruction of nerve branches of knee using imaging guidance,N,F,54,214,434,407,1320.1694931,389.85230415,306.27654378,340.86610599
State,05,Arkansas,64624,Destruction of nerve branches of knee using imaging guidance,N,O,20,67,87,87,807.65551724,318.02103448,246.88011494,283.8254023
State,05,Arkansas,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,F,46,208,498,462,1442.9748193,511.8487751,400.67216867,438.67361446
State,05,Arkansas,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,O,17,153,177,177,1474.7175141,541.65316384,422.01937853,475.13926554
State,05,Arkansas,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,F,85,636,1518,1356,1840.4859354,434.20924242,341.94640316,379.73121871
State,05,Arkansas,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,O,40,379,470,470,1434.7799149,447.14512766,349.71123404,398.95295745
State,05,Arkansas,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,64,551,850,733,1393.5083294,69.704270588,55.509047059,59.873847059
State,05,Arkansas,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,38,368,565,456,833.07063717,247.58614159,197.23412389,227.88235398
State,05,Arkansas,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,F,91,2422,5931,4796,1983.1982499,439.02954308,347.03560108,385.21575282
State,05,Arkansas,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,O,48,1458,1872,1872,1444.8958868,444.43755876,348.65632479,398.44145833
State,05,Arkansas,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,70,2156,3276,2690,1393.3565079,66.044365079,52.596153846,56.596517094
State,05,Arkansas,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,48,1431,2254,1836,887.54655723,225.0136291,179.54560337,209.46669033
State,05,Arkansas,64640,Destruction of peripheral nerve or branch,N,F,38,204,677,303,556.20982275,86.625864106,66.43295421,65.152289513
State,05,Arkansas,64640,Destruction of peripheral nerve or branch,N,O,26,221,757,243,373.16015852,103.89904888,79.628626156,73.542391017
State,05,Arkansas,77002,Fluoroscopic guidance for needle placement,N,F,163,1270,1527,1526,179.83095612,25.318120498,19.752049771,21.221552063
State,05,Arkansas,77002,Fluoroscopic guidance for needle placement,N,O,58,1366,1900,1898,215.06647368,85.657768421,65.788389474,77.132305263
State,06,California,64624,Destruction of nerve branches of knee using imaging guidance,N,F,350,947,1771,1728,3584.1683456,510.0533258,402.16232637,336.69907962
State,06,California,64624,Destruction of nerve branches of knee using imaging guidance,N,O,149,629,788,788,1912.080533,388.88139594,306.0890736,274.3707868
State,06,California,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,F,210,670,1118,996,2882.6197764,504.95257603,393.02227191,331.64070662
State,06,California,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,O,80,204,249,249,2770.2683133,500.84915663,387.38714859,348.66321285
State,06,California,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,F,583,3036,7074,6070,4631.6453167,561.82813967,444.5868985,379.31540147
State,06,California,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,O,203,1104,1406,1406,2148.0197084,504.74967283,396.38662162,365.84003556
State,06,California,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,356,2397,2850,2831,1094.6191333,81.771168421,65.057077193,62.427280702
State,06,California,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,185,956,1231,1224,1274.2407717,296.67043054,236.51317628,216.13250203
State,06,California,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,F,783,9963,24550,19594,4461.2440754,575.56933442,455.45084684,384.14731487
State,06,California,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,O,308,4426,5661,5661,1912.5874315,552.14089913,434.23276276,398.01302067
State,06,California,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,509,8145,9484,9425,1097.6656748,78.483173766,62.49117461,59.508441586
State,06,California,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,287,4002,5108,5091,1032.5722651,300.72235513,239.82662882,219.24496085
State,06,California,64640,Destruction of peripheral nerve or branch,N,F,221,658,2224,927,1475.3825585,107.1807509,83.630166367,65.475233813
State,06,California,64640,Destruction of peripheral nerve or branch,N,O,202,1210,4861,2571,574.10612631,199.8825468,158.34243366,122.13880066
State,06,California,77002,Fluoroscopic guidance for needle placement,N,F,1020,7083,8363,8361,154.18661246,27.943147196,21.451772091,20.409996413
State,06,California,77002,Fluoroscopic guidance for needle placement,N,O,834,10718,17959,17955,433.7723175,120.36652431,93.803876051,83.16894816
State,08,Colorado,64624,Destruction of nerve branches of knee using imaging guidance,N,F,85,190,318,305,2984.1522956,378.83691824,298.61336478,301.30160377
State,08,Colorado,64624,Destruction of nerve branches of knee using imaging guidance,N,O,34,120,148,148,1712.657973,445.87391892,354.28256757,340.87912162
State,08,Colorado,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,F,63,166,303,272,3878.7660726,427.98993399,338.869967,342.4859736
State,08,Colorado,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,O,21,144,204,204,1848.6833333,567.26857843,441.85039216,423.20534314
State,08,Colorado,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,F,134,744,1783,1591,3207.5678912,476.06910824,375.75444195,381.04885586
State,08,Colorado,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,O,47,412,524,523,2199.6378244,565.20610687,444.33217557,434.42398855
State,08,Colorado,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,92,613,1031,784,738.08419011,73.546023278,58.566838021,58.530785645
State,08,Colorado,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,44,376,521,479,1078.4317274,328.05095969,261.86527831,258.62190019
State,08,Colorado,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,F,158,1944,4690,3774,3283.3294158,471.35966525,371.87055011,378.34497868
State,08,Colorado,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,O,57,1123,1396,1396,2278.1470272,593.31949857,465.92919771,454.89040115
State,08,Colorado,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,115,1676,2486,2005,705.27916331,73.57928399,58.607948512,58.442554304
State,08,Colorado,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,56,1032,1376,1285,1010.3109956,321.6959593,256.83199128,251.66638081
State,08,Colorado,64640,Destruction of peripheral nerve or branch,N,F,51,176,465,243,1060.5710108,93.594,73.337978495,67.173075269
State,08,Colorado,64640,Destruction of peripheral nerve or branch,N,O,52,246,645,371,697.60088372,194.38362791,152.39235659,141.5604186
State,08,Colorado,77002,Fluoroscopic guidance for needle placement,N,F,271,1440,1604,1602,142.28553616,28.43005611,22.142637157,21.799894015
State,08,Colorado,77002,Fluoroscopic guidance for needle placement,N,O,200,1560,3385,3385,267.36974298,114.69685672,89.256827179,85.992073855
State,09,Connecticut,64624,Destruction of nerve branches of knee using imaging guidance,N,F,27,228,361,357,3116.3348199,568.05443213,451.92135734,426.76448753
State,09,Connecticut,64624,Destruction of nerve branches of knee using imaging guidance,N,O,20,59,72,72,1613.5422222,398.43236111,315.57291667,294.20625
State,09,Connecticut,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,F,39,105,232,213,2946.9789655,531.95469828,418.40474138,405.76237069
State,09,Connecticut,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,O,34,214,253,253,2502.7106719,553.87399209,437.95782609,416.17391304
