Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_RUCA_Desc,Total_Providers,Total_Beneficiaries,Avg_Allowed_Amt,Opportunity_Index
AK,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",21,713,249.09437403216668,45.81401781105556
AK,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",2,59,339.5691025625,199.28455128125
AK,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,18,134.86090909,152.86090909
AK,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",4,305,406.05734585727276,177.7643364643182
AK,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,123,36.211041667,159.21104166700002
AL,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",98,6383,232.76692999795654,67.50782581630567
AL,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",6,283,152.59679858592307,72.59946643098718
AL,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",4,125,216.43019299250003,85.357548248125
AL,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1,31,434.048872545,465.048872545
AL,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",2,147,124.66770784600001,135.833853923
AL,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",6,756,349.2677294161111,184.2112882360185
AL,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",1,29,151.179595588,180.179595588
AL,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",2,50,121.71202797100001,85.8560139855
AL,Unknown,4,467,294.28837803275,190.3220945081875
AR,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",117,12248,244.77987577862802,106.7758963741763
AR,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1,78,124.184858975,202.184858975
AR,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",16,997,184.00086398597145,73.81255399912321
AR,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1,68,584.879982455,652.879982455
AR,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",1,88,126.403609831,214.40360983099998
AR,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",3,86,193.6115377755,93.20384592516666
AZ,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",309,34396,274.4947793079323,112.2022484767247
AZ,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",6,625,286.86218510683335,151.9770308511389
AZ,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",9,338,282.81447744335713,68.97938638259524
AZ,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",2,130,92.789671237,111.3948356185
AZ,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,132,177.19256002275,309.19256002275
CA,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",776,49719,289.6294988541034,64.4441101789357
CA,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",10,380,330.9719258319444,71.09719258319444
CA,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",1,24,398.9196,422.9196
CA,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",10,666,192.5238054879,85.85238054879001
CA,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",21,1366,295.9887768064412,79.14232270506862
CA,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",2,36,27.160753622999998,31.5803768115
CA,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",4,92,63.2963030296,38.824075757399996
CA,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",3,51,98.31619815100001,49.772066050333336
CO,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",153,9316,277.3177717360531,62.70142334468008
CO,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1,51,161.46379731566665,212.46379731566665
CO,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",16,757,308.106934973375,66.56918343583594
CO,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",3,109,90.3486107534,66.4495369178
CO,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",1,20,154.36125,174.36125
CO,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",4,153,204.42929547088886,89.35732386772222
CO,"Small town high commuting: primary flow 30% or more to a urban cluster of 2,500 to 9,999",2,34,96.5945945945,65.29729729725
CT,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",88,4526,299.25889678974,54.832487463519776
CT,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5,116,126.950644388,48.5901288776
CT,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,32,127.33,159.32999999999998
DC,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",16,565,236.03214825783334,50.064509266114584
DE,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",36,2924,267.2795415607667,88.64665393224351
DE,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",2,163,283.717505726,223.358752863
DE,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",3,199,284.763328454,161.254442818
DE,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",2,182,242.79349331842857,212.39674665921427
FL,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",862,80850,285.13889568256536,94.12429106227677
FL,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",26,1629,276.6700114073617,73.29500043874468
FL,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5,283,259.8935564879231,108.57871129758462
FL,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",27,3104,325.5403624713333,127.0200134248642
FL,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",3,306,313.7885095085715,206.59616983619048
FL,"Small town low commuting: primary flow 10% to <30% to a urban cluster of 2,500 to 9,999",2,111,111.14466614,111.07233307
GA,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",383,27986,249.743428009838,73.72256769715362
GA,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",14,675,313.0271182641818,70.5733655902987
GA,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",1,22,113.31074405,135.31074404999998
GA,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",29,1268,267.85193896701753,52.960411688517844
GA,"Micropolitan low commuting: primary flow 10% to <30% to a urban cluster of 10,000 to 49,999",1,144,142.2882947115,286.2882947115
GA,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",1,187,146.82089552480002,333.8208955248
GA,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",6,386,250.28839306485716,106.04806551080952
GA,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",4,444,279.4072729379091,180.85181823447726
GU,Unknown,2,57,301.2798234433333,179.13991172166666
HI,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,57,304.802351514,120.600783838
HI,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1,34,557.842777775,591.842777775
HI,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,25,291.46629902,316.46629902
IA,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",88,6236,185.60149136693818,72.97274422007884
IA,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",14,498,102.47409277822221,42.89100662701588
IA,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",1,19,25.283225806,44.283225806000004
IA,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",1,91,104.91846232500001,195.918462325
IA,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",4,169,37.32146981425,51.5803674535625
ID,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",52,2654,160.11762156626318,54.11764656858198
ID,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",12,511,237.34005981595237,62.36167165132937
ID,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",13,786,218.6290722588889,77.2791594045299
ID,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,27,21.77,48.769999999999996
IL,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",395,31287,214.86541290828265,79.75155800736275
IL,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5,92,55.6759689124,29.53519378248
IL,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",20,1666,173.13947752965,91.95697387648251
IL,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",3,321,298.77440176162503,206.59146725387504
IL,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",5,252,219.14368738211112,94.22873747642222
IL,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",4,82,104.05564359,46.5139108975
IN,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",251,13636,213.81296548443763,55.17853771109338
IN,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",15,545,124.2291193150909,44.61527462100606
IN,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1,45,107.40688889,152.40688889
IN,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",2,152,224.64516770333333,188.32258385166665
IN,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",2,133,113.32843198325,123.164215991625
