Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA_Desc,Total_Providers,Total_Beneficiaries,Avg_Allowed_Amt,Opportunity_Index
00918,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,281,220.171964199,167.05732139966668
00925,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,428,110.4486415,538.4486415
00949,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,22,515.035833335,537.035833335
00966,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,14,116.83666667,130.83666667
01040,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,21,27.59,48.59
01088,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1,131,110.24903955,241.24903955000002
01089,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6,230,125.7261240657778,59.2876873442963
01103,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,12,27.309333333,39.309333333
01104,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,118,436.7530104433333,277.37650522166666
01118,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,28,24.769047619,26.3845238095
01199,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,64,27.28,30.426666666666666
01201,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5,308,82.51949715416667,78.10389943083334
01301,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,21,122.72,143.72
01420,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,416,288.93763883,352.468819415
01440,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,121,111.44014496125,232.44014496124998
01453,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,80,27.579010989,107.579010989
01468,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,41,27.28,68.28
01550,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,39,134.364439801,173.364439801
01566,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,295,387.48447412,682.48447412
01605,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6,658,149.62917380705554,134.60486230117593
01608,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5,576,321.8400446128571,179.56800892257144
01655,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",8,162,73.08296413866667,29.385370517333335
01702,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,132,391.35337086,523.35337086
01730,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,12,212.438125,224.438125
01742,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,58,28.422368421,43.2111842105
01752,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,71,27.283066667,98.283066667
01760,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,392,227.76965688055557,206.58988562685184
01801,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,40,29.32,69.32
01805,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",14,1436,128.07155622482142,111.71939687320153
01810,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,12,27.37375,39.37375
01824,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,64,103.44929167,167.44929166999998
