Rndrng_Prvdr_State_Abrvtn,HCPCS_Cd,Total_Services,Total_Providers,Total_Beneficiaries
FL,77002,49663,576,25825
IL,77002,49420,326,19041
TX,77002,42060,562,21814
FL,64635,36977,558,26559
NY,77002,34552,307,13760
TX,64635,27249,535,19192
CA,64635,27225,478,19116
FL,64636,27054,430,18784
CA,77002,21542,438,14350
TX,64636,20884,437,13659
NC,77002,20602,297,12093
VA,77002,19953,222,9697
GA,77002,19145,235,7413
GA,64635,19107,267,12206
AZ,77002,18847,231,9721
KY,77002,16447,119,5566
AZ,64635,15968,207,11155
NJ,77002,14669,137,5252
SC,77002,14141,151,6978
OH,77002,13994,227,6700
CA,64636,12288,292,10380
PA,77002,12165,262,7977
MA,77002,11804,208,8659
MD,64635,11273,164,7430
NY,64635,11125,240,8154
TN,64635,10420,147,7079
MO,77002,10183,186,6055
AZ,64636,10172,157,7817
PA,64635,10090,225,7308
OH,64635,9740,206,7226
FL,64633,9604,256,6848
IL,64635,8862,183,6663
GA,64636,8706,171,6256
MI,77002,8389,196,5185
LA,64635,8269,118,5494
NC,64635,7700,167,5954
NC,64636,7663,152,5206
NY,64636,7617,196,6034
AR,64635,7585,90,5179
VA,64635,7380,122,5605
VA,64636,7319,115,5069
NJ,64635,7164,175,4975
WI,77002,7032,184,4755
SC,64635,6955,110,5122
PA,64636,6937,168,4835
TX,64633,6859,207,4839
IN,64635,6756,151,4777
MN,77002,6700,175,5410
IN,77002,6698,177,4995
OH,64636,6658,173,5343
FL,64634,6562,182,4445
IL,64636,6412,145,5058
MD,77002,6325,126,4412
WA,77002,6311,169,5186
MD,64636,6154,97,3800
SC,64636,6063,99,3987
MS,64635,5983,65,4227
MI,64635,5816,152,4426
CA,64633,5770,178,4137
TN,64636,5770,112,4383
KY,64635,5674,93,4439
LA,64636,5632,86,3425
TX,64640,5624,66,1839
OK,64636,5571,70,3612
CO,64635,5554,110,3931
TN,77002,5353,115,3582
AR,64636,5236,69,3471
NE,77002,5218,66,2315
CA,64640,5207,45,1198
MI,64636,5126,133,3670
OK,64635,4980,77,3991
MA,64635,4967,106,3982
UT,77002,4949,87,3138
WI,64635,4924,127,3608
WA,64635,4912,92,3562
AZ,64633,4906,142,3476
OK,77002,4696,100,3141
TX,64634,4572,144,2953
GA,64633,4520,129,3045
MN,64635,4469,101,3166
NV,64635,4410,77,2944
IN,64636,4358,110,3085
KY,64636,4353,84,3755
IA,77002,4339,85,3148
OR,64635,4336,77,3015
UT,64635,4261,75,3033
MO,64635,4154,92,3251
MA,64636,3968,93,3259
KS,77002,3963,97,2925
MO,64636,3782,79,2686
NJ,64636,3715,107,2681
NH,77002,3669,71,2832
OK,64640,3618,18,1043
CO,77002,3606,85,1887
PA,64640,3586,23,681
AL,64636,3490,59,2349
AL,64635,3479,73,2779
FL,64640,3460,40,1078
UT,64636,3435,65,2495
MS,64636,3415,45,2635
CO,64636,3359,79,2375
KS,64635,3169,62,2245
AL,77002,3014,75,2023
OR,77002,2981,87,2489
AZ,64634,2945,98,2207
LA,77002,2890,68,2237
WI,64636,2870,91,2320
PR,77002,2849,2,442
AR,77002,2833,74,2236
MS,64640,2765,11,618
IA,64635,2734,43,1931
MS,77002,2653,53,1714
AZ,64640,2647,33,802
NY,64640,2633,29,879
FL,64625,2544,68,1860
MN,64636,2468,74,1943
WA,64636,2370,67,2069
TN,64633,2339,64,1644
CA,64634,2288,88,1907
LA,64633,2242,57,1495
CT,77002,2204,63,1822
NE,64635,2196,40,1570
LA,64640,2164,19,621
NM,64635,2110,36,1550
ID,64635,2039,36,1402
KS,64636,2037,48,1487
GA,64634,2029,67,1340
DE,64635,2026,32,1356
MD,64633,2004,69,1411
TX,64625,2001,50,1145
NV,77002,1987,51,1480
NV,64636,1940,47,1593
IL,64640,1934,23,679
NE,64636,1903,29,1089
NH,64635,1902,43,1468
IA,64636,1861,36,1342
OR,64636,1856,58,1639
OH,64633,1713,63,1241
NM,64636,1709,31,1144
NY,64633,1702,57,1247
CO,64633,1698,53,1206
WV,64636,1660,23,1007
AR,64633,1625,53,1159
WV,64635,1617,25,1122
ID,77002,1616,52,1235
CT,64635,1572,40,1180
ME,77002,1561,31,858
MD,64640,1509,14,485
OH,64640,1501,17,435
OK,64634,1489,35,978
OK,64633,1397,39,1089
SC,64640,1393,18,477
IL,64633,1385,55,1035
LA,64634,1385,36,811
VA,64634,1330,42,924
MN,64633,1328,45,931
NH,64640,1327,4,273
WA,64633,1316,41,947
VA,64633,1313,46,1040
MT,64635,1290,27,917
SD,77002,1272,34,1037
KY,64633,1267,40,933
MA,64640,1250,13,341
NE,64640,1246,10,318
NH,64636,1238,32,1010
WV,77002,1236,25,947
MS,64633,1233,32,941
PA,64633,1232,52,940
UT,64640,1209,9,300
NM,77002,1207,31,745
DE,64636,1176,25,761
TX,64624,1174,42,889
CT,64640,1171,6,418
IN,64633,1160,46,834
TN,64634,1160,43,887
OR,64633,1149,34,809
NV,64633,1147,32,778
SC,64633,1147,40,880
NC,64633,1119,45,865
AL,64640,1109,5,238
AR,64640,1098,14,340
MI,64633,1087,46,778
GA,64640,1080,18,363
CT,64636,1073,30,865
OH,64634,1065,43,814
MO,64640,1053,22,502
NY,64634,1053,37,802
MD,64634,1041,35,645
AR,64634,1032,34,694
FL,64624,1022,35,884
MO,64633,1008,36,740
ID,64636,1007,24,836
CA,64624,1003,44,815
DE,77002,981,20,536
NC,64634,977,35,675
CO,64634,972,31,599
UT,64633,952,34,671
WA,64640,950,7,206
NJ,64633,940,36,647
SC,64634,929,29,573
NV,64640,925,11,241
DE,64640,922,4,303
OR,64640,893,11,253
ND,77002,891,24,709
AK,77002,890,23,753
MI,64634,882,37,608
KY,64634,879,35,727
MT,77002,867,24,727
IL,64634,849,36,656
WI,64633,806,34,580
UT,64634,791,30,562
MO,64634,786,29,541
PA,64634,743,31,555
IN,64640,741,7,244
SD,64635,735,20,657
KY,64640,734,9,235
IL,64624,717,22,556
KS,64633,696,17,460
KS,64640,682,8,244
VT,77002,680,17,606
TN,64640,674,10,213
IN,64634,673,28,472
MA,64633,672,26,532
NC,64640,656,11,260
CO,64640,654,11,229
ME,64635,650,19,573
MI,64640,643,6,233
MS,64634,636,19,500
WI,64640,623,11,201
SD,64636,618,17,567
VA,64640,606,10,183
CA,64625,598,22,464
WI,64624,595,23,495
GA,64624,570,24,442
ME,64636,565,18,503
MN,64634,561,25,413
RI,77002,556,12,487
ND,64635,546,14,407
NY,64624,540,18,453
IA,64640,540,7,153
AL,64634,534,21,370
NJ,64640,527,9,154
AL,64633,520,23,428
MT,64636,518,16,424
WA,64634,509,19,398
MA,64634,500,21,413
SD,64640,498,7,170
WY,64635,495,11,320
NM,64633,478,15,361
OK,64624,465,13,409
NV,64634,464,19,383
LA,64625,461,12,320
MD,64625,457,15,328
AR,64625,456,12,318
RI,64635,455,11,365
NE,64633,441,16,327
MS,64624,440,19,362
MD,64624,435,22,341
ID,64633,431,17,302
SC,64624,403,13,340
NM,64634,393,12,252
WY,77002,385,13,355
NE,64634,379,11,221
AZ,64624,379,17,326
NJ,64634,374,17,276
OR,64634,369,18,313
LA,64624,369,15,310
ND,64636,363,11,283
IA,64633,361,12,257
NC,64624,352,16,288
MO,64624,343,13,290
VA,64624,335,14,257
VT,64635,329,10,256
OK,64625,328,12,273
KS,64634,323,11,242
