Rndrng_Prvdr_State_Abrvtn,Urban_Patients,Rural_Patients,Urban_Providers,Rural_Providers,Urban_Patients_per_Provider,Rural_Patients_per_Provider,Gap_Ratio
AK,203,144.0,8,1.0,25.38,144.0,5.67
AL,2810,196.0,51,2.0,55.1,98.0,1.78
AL,2810,57.0,51,2.0,55.1,28.5,0.52
AL,160,196.0,4,2.0,40.0,98.0,2.45
AL,160,57.0,4,2.0,40.0,28.5,0.71
AL,23,196.0,2,2.0,11.5,98.0,8.52
AL,23,57.0,2,2.0,11.5,28.5,2.48
AL,15,196.0,1,2.0,15.0,98.0,6.53
AL,15,57.0,1,2.0,15.0,28.5,1.9
AR,1078,31.0,15,1.0,71.87,31.0,0.43
AR,1078,124.0,15,1.0,71.87,124.0,1.73
AR,1078,72.0,15,1.0,71.87,72.0,1.0
AR,123,31.0,1,1.0,123.0,31.0,0.25
AR,9148,31.0,90,1.0,101.64,31.0,0.3
AR,123,72.0,1,1.0,123.0,72.0,0.59
AR,9148,124.0,90,1.0,101.64,124.0,1.22
AR,9148,72.0,90,1.0,101.64,72.0,0.71
AR,123,124.0,1,1.0,123.0,124.0,1.01
AZ,16228,132.0,138,1.0,117.59,132.0,1.12
AZ,197,132.0,2,1.0,98.5,132.0,1.34
AZ,330,132.0,8,1.0,41.25,132.0,3.2
CA,38,55.0,2,3.0,19.0,18.33,0.96
CA,609,55.0,7,3.0,87.0,18.33,0.21
CA,748,55.0,12,3.0,62.33,18.33,0.29
CA,37024,55.0,509,3.0,72.74,18.33,0.25
CA,407,55.0,9,3.0,45.22,18.33,0.41
CO,336,105.0,8,1.0,42.0,105.0,2.5
CO,7090,127.0,108,3.0,65.65,42.33,0.64
CO,7090,24.0,108,1.0,65.65,24.0,0.37
CO,7090,105.0,108,1.0,65.65,105.0,1.6
CO,28,127.0,1,3.0,28.0,42.33,1.51
CO,28,24.0,1,1.0,28.0,24.0,0.86
CO,28,105.0,1,1.0,28.0,105.0,3.75
CO,336,127.0,8,3.0,42.0,42.33,1.01
CO,336,24.0,8,1.0,42.0,24.0,0.57
CT,1944,0.0,34,0.0,57.18,inf,inf
DC,414,0.0,11,0.0,37.64,inf,inf
DE,1728,199.0,19,2.0,90.95,99.5,1.09
DE,1728,163.0,19,1.0,90.95,163.0,1.79
FL,36403,0.0,382,0.0,95.3,inf,inf
FL,743,0.0,7,0.0,106.14,inf,inf
FL,72,0.0,1,0.0,72.0,inf,inf
FL,1321,0.0,8,0.0,165.12,inf,inf
GA,42,394.0,1,2.0,42.0,197.0,4.69
GA,810,193.0,17,1.0,47.65,193.0,4.05
GA,42,276.0,1,1.0,42.0,276.0,6.57
GA,810,394.0,17,2.0,47.65,197.0,4.13
GA,810,276.0,17,1.0,47.65,276.0,5.79
GA,42,193.0,1,1.0,42.0,193.0,4.6
GA,93,193.0,2,1.0,46.5,193.0,4.15
GA,93,276.0,2,1.0,46.5,276.0,5.94
GA,25753,394.0,268,2.0,96.09,197.0,2.05
GA,25753,276.0,268,1.0,96.09,276.0,2.87
GA,25753,193.0,268,1.0,96.09,193.0,2.01
GA,93,394.0,2,2.0,46.5,197.0,4.24
HI,50,0.0,2,0.0,25.0,inf,inf
IA,4168,31.0,53,1.0,78.64,31.0,0.39
IA,4168,183.0,53,4.0,78.64,45.75,0.58
IA,691,31.0,14,1.0,49.36,31.0,0.63
IA,691,183.0,14,4.0,49.36,45.75,0.93
ID,519,27.0,10,1.0,51.9,27.0,0.52
ID,543,27.0,11,1.0,49.36,27.0,0.55
ID,1710,27.0,38,1.0,45.0,27.0,0.6
IL,12425,64.0,204,3.0,60.91,21.33,0.35
IL,17,64.0,1,3.0,17.0,21.33,1.25
IL,1370,64.0,12,3.0,114.17,21.33,0.19
IN,11341,136.0,196,2.0,57.86,68.0,1.18
IN,540,136.0,12,2.0,45.0,68.0,1.51
KS,5532,0.0,101,0.0,54.77,inf,inf
KS,215,0.0,2,0.0,107.5,inf,inf
KS,1377,0.0,18,0.0,76.5,inf,inf
KY,1009,165.0,12,3.0,84.08,55.0,0.65
KY,1009,211.0,12,9.0,84.08,23.44,0.28
KY,4479,211.0,54,9.0,82.94,23.44,0.28
KY,4479,165.0,54,3.0,82.94,55.0,0.66
LA,13583,138.0,131,1.0,103.69,138.0,1.33
LA,430,138.0,4,1.0,107.5,138.0,1.28
LA,803,138.0,8,1.0,100.38,138.0,1.37
MA,10065,0.0,163,0.0,61.75,inf,inf
MD,1489,373.0,17,1.0,87.59,373.0,4.26
MD,14519,373.0,147,1.0,98.77,373.0,3.78
MD,1638,373.0,15,1.0,109.2,373.0,3.42
MD,751,373.0,5,1.0,150.2,373.0,2.48
ME,680,81.0,16,3.0,42.5,27.0,0.64
MI,4693,29.0,117,2.0,40.11,14.5,0.36
MI,4693,131.0,117,4.0,40.11,32.75,0.82
MI,258,29.0,3,2.0,86.0,14.5,0.17
MI,258,131.0,3,4.0,86.0,32.75,0.38
MI,947,29.0,21,2.0,45.1,14.5,0.32
MI,947,131.0,21,4.0,45.1,32.75,0.73
MI,11,29.0,1,2.0,11.0,14.5,1.32
MI,11,131.0,1,4.0,11.0,32.75,2.98
MN,791,197.0,14,6.0,56.5,32.83,0.58
MN,51,252.0,2,3.0,25.5,84.0,3.29
MN,791,252.0,14,3.0,56.5,84.0,1.49
MN,9101,252.0,150,3.0,60.67,84.0,1.38
MN,9101,197.0,150,6.0,60.67,32.83,0.54
MN,51,197.0,2,6.0,25.5,32.83,1.29
MO,8377,65.0,154,2.0,54.4,32.5,0.6
MO,767,65.0,8,2.0,95.88,32.5,0.34
MO,1017,65.0,12,2.0,84.75,32.5,0.38
MS,600,63.0,4,1.0,150.0,63.0,0.42
MS,540,63.0,12,1.0,45.0,63.0,1.4
MS,540,1711.0,12,9.0,45.0,190.11,4.22
MS,600,1711.0,4,9.0,150.0,190.11,1.27
MS,641,1711.0,5,9.0,128.2,190.11,1.48
MS,6310,63.0,47,1.0,134.26,63.0,0.47
MS,6310,1711.0,47,9.0,134.26,190.11,1.42
MS,641,63.0,5,1.0,128.2,63.0,0.49
MT,1426,192.0,24,1.0,59.42,192.0,3.23
MT,618,192.0,14,1.0,44.14,192.0,4.35
NC,6748,22.0,122,1.0,55.31,22.0,0.4
NC,6748,231.0,122,1.0,55.31,231.0,4.18
NC,428,22.0,12,1.0,35.67,22.0,0.62
NC,428,231.0,12,1.0,35.67,231.0,6.48
ND,1424,0.0,22,0.0,64.73,inf,inf
ND,58,0.0,3,0.0,19.33,inf,inf
NE,982,0.0,20,0.0,49.1,inf,inf
NE,2774,0.0,49,0.0,56.61,inf,inf
NH,1681,63.0,24,1.0,70.04,63.0,0.9
NH,503,63.0,3,1.0,167.67,63.0,0.38
NH,1637,63.0,33,1.0,49.61,63.0,1.27
NJ,7713,0.0,162,0.0,47.61,inf,inf
NJ,157,0.0,2,0.0,78.5,inf,inf
NJ,89,0.0,2,0.0,44.5,inf,inf
NM,2281,0.0,24,0.0,95.04,inf,inf
NM,371,0.0,4,0.0,92.75,inf,inf
NV,5140,0.0,66,0.0,77.88,inf,inf
NV,14,0.0,1,0.0,14.0,inf,inf
NY,11570,48.0,168,3.0,68.87,16.0,0.23
NY,41,48.0,1,3.0,41.0,16.0,0.39
NY,1037,48.0,18,3.0,57.61,16.0,0.28
NY,307,48.0,2,3.0,153.5,16.0,0.1
OH,71,323.0,2,9.0,35.5,35.89,1.01
OH,4456,323.0,35,9.0,127.31,35.89,0.28
OH,11681,323.0,197,9.0,59.29,35.89,0.61
OH,24,323.0,1,9.0,24.0,35.89,1.5
OK,6842,15.0,77,1.0,88.86,15.0,0.17
OK,509,15.0,11,1.0,46.27,15.0,0.32
OK,121,15.0,6,1.0,20.17,15.0,0.74
OR,5509,0.0,76,0.0,72.49,inf,inf
OR,248,0.0,8,0.0,31.0,inf,inf
OR,290,0.0,1,0.0,290.0,inf,inf
PA,1197,118.0,21,2.0,57.0,59.0,1.04
PA,30,261.0,1,3.0,30.0,87.0,2.9
PA,30,118.0,1,2.0,30.0,59.0,1.97
PA,1197,261.0,21,3.0,57.0,87.0,1.53
PA,13633,118.0,257,2.0,53.05,59.0,1.11
PA,265,261.0,8,3.0,33.12,87.0,2.63
PA,13633,261.0,257,3.0,53.05,87.0,1.64
PA,265,118.0,8,2.0,33.12,59.0,1.78
RI,1042,0.0,15,0.0,69.47,inf,inf
SC,5373,66.0,68,2.0,79.01,33.0,0.42
SC,5373,22.0,68,1.0,79.01,22.0,0.28
SC,264,66.0,6,2.0,44.0,33.0,0.75
SC,264,22.0,6,1.0,44.0,22.0,0.5
SC,442,66.0,11,2.0,40.18,33.0,0.82
SC,442,22.0,11,1.0,40.18,22.0,0.55
SC,15,66.0,1,2.0,15.0,33.0,2.2
SC,15,22.0,1,1.0,15.0,22.0,1.47
SD,371,0.0,12,0.0,30.92,inf,inf
SD,2260,0.0,29,0.0,77.93,inf,inf
TN,10367,0.0,124,0.0,83.6,inf,inf
TN,25,0.0,1,0.0,25.0,inf,inf
TN,1262,0.0,13,0.0,97.08,inf,inf
TN,514,0.0,4,0.0,128.5,inf,inf
TX,35374,137.0,437,2.0,80.95,68.5,0.85
TX,1006,137.0,14,2.0,71.86,68.5,0.95
TX,3128,137.0,34,2.0,92.0,68.5,0.74
TX,1825,137.0,24,2.0,76.04,68.5,0.9
UT,2648,319.0,39,5.0,67.9,63.8,0.94
VA,79,62.0,5,1.0,15.8,62.0,3.92
VA,122,62.0,1,1.0,122.0,62.0,0.51
VA,4840,62.0,91,1.0,53.19,62.0,1.17
VA,107,62.0,1,1.0,107.0,62.0,0.58
VT,619,146.0,9,3.0,68.78,48.67,0.71
VT,27,146.0,1,3.0,27.0,48.67,1.8
VT,83,146.0,3,3.0,27.67,48.67,1.76
WA,8140,0.0,128,0.0,63.59,inf,inf
WA,46,0.0,2,0.0,23.0,inf,inf
WA,138,0.0,4,0.0,34.5,inf,inf
WI,17,38.0,1,1.0,17.0,38.0,2.24
WI,432,38.0,7,1.0,61.71,38.0,0.62
WI,432,67.0,7,2.0,61.71,33.5,0.54
WI,949,38.0,17,1.0,55.82,38.0,0.68
WI,9306,38.0,182,1.0,51.13,38.0,0.74
WI,17,67.0,1,2.0,17.0,33.5,1.97
WI,9306,67.0,182,2.0,51.13,33.5,0.66
WI,949,67.0,17,2.0,55.82,33.5,0.6
WV,841,0.0,4,0.0,210.25,inf,inf
WV,2834,0.0,32,0.0,88.56,inf,inf
WY,451,88.0,6,4.0,75.17,22.0,0.29
WY,167,41.0,7,1.0,23.86,41.0,1.72
WY,451,41.0,6,1.0,75.17,41.0,0.55
WY,167,88.0,7,4.0,23.86,22.0,0.92
