Rndrng_Prvdr_State_Abrvtn,Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc_Urban,Total_Beneficiaries_Urban,Unique_Providers_Urban,Provider_Density_Urban,Urban_Rural_Urban,Rndrng_Prvdr_RUCA_Desc_Rural,Total_Beneficiaries_Rural,Unique_Providers_Rural,Provider_Density_Rural,Urban_Rural_Rural,Gap_Ratio,Urban_Patients,Rural_Patients,Urban_Providers,Rural_Providers,Urban_Patients_per_Provider,Rural_Patients_per_Provider
AK,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",203,8,0.03940886699507389,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",144.0,1.0,0.006944444444444444,Rural,5.674876847290641,203,144.0,8,1.0,25.375,144.0
AK,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",662,14,0.021148036253776436,Urban,0,0.0,0.0,0.0,0,inf,662,0.0,14,0.0,47.285714285714285,inf
AK,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",64,2,0.03125,Urban,0,0.0,0.0,0.0,0,inf,64,0.0,2,0.0,32.0,inf
AK,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",22,1,0.045454545454545456,Urban,0,0.0,0.0,0.0,0,inf,22,0.0,1,0.0,22.0,inf
AL,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2810,51,0.018149466192170817,Urban,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",196.0,2.0,0.01020408163265306,Rural,1.77864768683274,2810,196.0,51,2.0,55.09803921568628,98.0
AL,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2810,51,0.018149466192170817,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",57.0,2.0,0.03508771929824561,Rural,0.5172597864768683,2810,57.0,51,2.0,55.09803921568628,28.5
AL,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",160,4,0.025,Urban,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",196.0,2.0,0.01020408163265306,Rural,2.45,160,196.0,4,2.0,40.0,98.0
AL,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",160,4,0.025,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",57.0,2.0,0.03508771929824561,Rural,0.7125000000000001,160,57.0,4,2.0,40.0,28.5
AL,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",23,2,0.08695652173913043,Urban,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",196.0,2.0,0.01020408163265306,Rural,8.521739130434783,23,196.0,2,2.0,11.5,98.0
AL,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",23,2,0.08695652173913043,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",57.0,2.0,0.03508771929824561,Rural,2.4782608695652173,23,57.0,2,2.0,11.5,28.5
AL,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",15,1,0.06666666666666667,Urban,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",196.0,2.0,0.01020408163265306,Rural,6.533333333333334,15,196.0,1,2.0,15.0,98.0
AL,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",15,1,0.06666666666666667,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",57.0,2.0,0.03508771929824561,Rural,1.9000000000000001,15,57.0,1,2.0,15.0,28.5
AL,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5188,54,0.01040863531225906,Urban,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",35.0,1.0,0.02857142857142857,Rural,0.36430223592906713,5188,35.0,54,1.0,96.07407407407408,35.0
AL,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",230,2,0.008695652173913044,Urban,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",35.0,1.0,0.02857142857142857,Rural,0.30434782608695654,230,35.0,2,1.0,115.0,35.0
AL,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",278,2,0.007194244604316547,Urban,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",35.0,1.0,0.02857142857142857,Rural,0.2517985611510792,278,35.0,2,1.0,139.0,35.0
AL,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",903,5,0.005537098560354375,Urban,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",35.0,1.0,0.02857142857142857,Rural,0.1937984496124031,903,35.0,5,1.0,180.6,35.0
AR,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",9148,90,0.009838216003498032,Urban,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",72.0,1.0,0.013888888888888888,Rural,0.7083515522518583,9148,72.0,90,1.0,101.64444444444445,72.0
AR,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",9148,90,0.009838216003498032,Urban,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",124.0,1.0,0.008064516129032258,Rural,1.219938784433756,9148,124.0,90,1.0,101.64444444444445,124.0
AR,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",9148,90,0.009838216003498032,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",31.0,1.0,0.03225806451612903,Rural,0.304984696108439,9148,31.0,90,1.0,101.64444444444445,31.0
AR,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",123,1,0.008130081300813009,Urban,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",72.0,1.0,0.013888888888888888,Rural,0.5853658536585367,123,72.0,1,1.0,123.0,72.0
AR,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",123,1,0.008130081300813009,Urban,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",124.0,1.0,0.008064516129032258,Rural,1.0081300813008132,123,124.0,1,1.0,123.0,124.0
AR,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",123,1,0.008130081300813009,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",31.0,1.0,0.03225806451612903,Rural,0.2520325203252033,123,31.0,1,1.0,123.0,31.0
AR,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1078,15,0.013914656771799629,Urban,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",72.0,1.0,0.013888888888888888,Rural,1.0018552875695734,1078,72.0,15,1.0,71.86666666666666,72.0
