HCPCS_Cd,Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc,Total_Beneficiaries,Unique_Providers,Provider_Density
64624,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7644,314,0.04107796964939822
64624,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",96,5,0.052083333333333336
64624,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",787,27,0.03430749682337993
64624,F,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",99,5,0.050505050505050504
64624,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",42,2,0.047619047619047616
64624,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",40,3,0.075
64624,F,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",116,3,0.02586206896551724
64624,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",27,1,0.037037037037037035
64624,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",88,5,0.056818181818181816
64624,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3637,137,0.037668408028594995
64624,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",41,3,0.07317073170731707
64624,O,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",16,1,0.0625
64624,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",219,13,0.0593607305936073
64624,O,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",23,1,0.043478260869565216
64624,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",40,3,0.075
64624,O,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",47,2,0.0425531914893617
64625,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4477,161,0.03596158141612687
64625,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",63,3,0.047619047619047616
64625,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",434,14,0.03225806451612903
64625,F,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",28,1,0.03571428571428571
64625,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",87,4,0.04597701149425287
64625,F,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",89,3,0.033707865168539325
64625,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2690,80,0.02973977695167286
64625,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",46,2,0.043478260869565216
64625,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",111,3,0.02702702702702703
64625,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",334,8,0.023952095808383235
64625,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",18,1,0.05555555555555555
64633,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",39162,1375,0.03511056636535417
64633,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",652,26,0.03987730061349693
64633,F,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",43,2,0.046511627906976744
64633,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",2321,85,0.03662214562688496
64633,F,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",306,7,0.02287581699346405
64633,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",54,1,0.018518518518518517
64633,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",980,39,0.03979591836734694
64633,F,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",47,2,0.0425531914893617
64633,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",114,6,0.05263157894736842
64633,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",132,6,0.045454545454545456
64633,O,"""Urban""",29,2,0.06896551724137931
64633,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",18012,658,0.03653120142127471
64633,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",345,15,0.043478260869565216
64633,O,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",16,1,0.0625
64633,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",954,44,0.04612159329140461
64633,O,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",61,3,0.04918032786885246
64633,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",465,19,0.04086021505376344
64633,O,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",83,5,0.060240963855421686
64633,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",156,7,0.04487179487179487
64634,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",17194,716,0.041642433407002445
64634,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",311,15,0.04823151125401929
64634,F,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",20,1,0.05
64634,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1212,46,0.037953795379537955
64634,F,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",139,4,0.02877697841726619
64634,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",21,1,0.047619047619047616
64634,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",439,20,0.04555808656036447
64634,F,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",33,1,0.030303030303030304
64634,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",70,4,0.05714285714285714
64634,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",82,4,0.04878048780487805
64634,O,"""Urban""",17,1,0.058823529411764705
64634,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",16566,616,0.03718459495351926
64634,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",300,13,0.043333333333333335
64634,O,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",14,1,0.07142857142857142
64634,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",807,37,0.04584882280049566
64634,O,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",55,3,0.05454545454545454
