Rndrng_Prvdr_State_Abrvtn,Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc,Total_Services,Drug_Services,Total_Beneficiaries,Unique_Providers,Drug_Service_Pct,Provider_Density,Urban_Rural
AK,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",252,0,203,8,0.0,0.03940886699507389,Urban
AK,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",144,0,144,1,0.0,0.006944444444444444,Rural
AK,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",790,0,662,14,0.0,0.021148036253776436,Urban
AK,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",64,0,64,2,0.0,0.03125,Urban
AK,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",22,0,22,1,0.0,0.045454545454545456,Urban
AK,O,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",366,0,366,4,0.0,0.01092896174863388,
AL,F,"""Urban""",84,0,83,2,0.0,0.024096385542168676,
AL,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3690,0,2810,51,0.0,0.018149466192170817,Urban
AL,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",164,0,160,4,0.0,0.025,Urban
AL,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",32,0,23,2,0.0,0.08695652173913043,Urban
AL,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",198,0,196,2,0.0,0.01020408163265306,Rural
AL,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",24,0,15,1,0.0,0.06666666666666667,Urban
AL,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",33,0,31,1,0.0,0.03225806451612903,
AL,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",57,0,57,2,0.0,0.03508771929824561,Rural
AL,O,"""Urban""",572,0,539,2,0.0,0.0037105751391465678,
AL,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5759,0,5188,54,0.0,0.01040863531225906,Urban
AL,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",230,0,230,2,0.0,0.008695652173913044,Urban
AL,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",364,0,278,2,0.0,0.007194244604316547,Urban
AL,O,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",35,0,35,1,0.0,0.02857142857142857,Rural
AL,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",1008,0,903,5,0.0,0.005537098560354375,Urban
AR,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",11080,0,9148,90,0.0,0.009838216003498032,Urban
AR,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",123,0,123,1,0.0,0.008130081300813009,Urban
AR,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1230,0,1078,15,0.0,0.013914656771799629,Urban
AR,F,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",125,0,72,1,0.0,0.013888888888888888,Rural
AR,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",125,0,124,1,0.0,0.008064516129032258,Rural
AR,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",91,0,31,1,0.0,0.03225806451612903,Rural
AR,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6849,0,5974,41,0.0,0.006863073317710077,Urban
AR,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",295,0,295,1,0.0,0.003389830508474576,Urban
AR,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",165,0,97,2,0.0,0.020618556701030927,Rural
AZ,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",18691,0,16228,138,0.0,0.008503820557061868,Urban
AZ,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",200,0,197,2,0.0,0.01015228426395939,Urban
AZ,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",386,0,330,8,0.0,0.024242424242424242,Urban
AZ,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",132,0,132,1,0.0,0.007575757575757576,Rural
AZ,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",35255,0,33938,203,0.0,0.005981495668572102,Urban
AZ,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",704,0,704,4,0.0,0.005681818181818182,Urban
AZ,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",109,0,109,2,0.0,0.01834862385321101,Urban
AZ,O,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",552,0,552,2,0.0,0.0036231884057971015,Urban
CA,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",43229,0,37024,509,0.0,0.013747839239412273,Urban
CA,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",491,0,407,9,0.0,0.022113022113022112,Urban
CA,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",653,0,609,7,0.0,0.011494252873563218,Urban
CA,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",1010,0,748,12,0.0,0.016042780748663103,Urban
CA,F,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",38,0,38,2,0.0,0.05263157894736842,Urban
CA,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",97,0,97,4,0.0,0.041237113402061855,
CA,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",55,0,55,3,0.0,0.05454545454545454,Rural
CA,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",29004,0,27106,315,0.0,0.01162104331144396,Urban
CA,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",56,0,56,1,0.0,0.017857142857142856,Urban
