Rndrng_Prvdr_State_Abrvtn,Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc,Total_Beneficiaries,Unique_Providers,Provider_Density
AK,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",203,8,0.03940886699507389
AK,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",144,1,0.006944444444444444
AK,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",662,14,0.021148036253776436
AK,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",64,2,0.03125
AK,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",22,1,0.045454545454545456
AK,O,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",366,4,0.01092896174863388
AL,F,"""Urban""",83,2,0.024096385542168676
AL,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2810,51,0.018149466192170817
AL,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",160,4,0.025
AL,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",23,2,0.08695652173913043
AL,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",196,2,0.01020408163265306
AL,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",15,1,0.06666666666666667
AL,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",31,1,0.03225806451612903
AL,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",57,2,0.03508771929824561
AL,O,"""Urban""",539,2,0.0037105751391465678
AL,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5188,54,0.01040863531225906
AL,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",230,2,0.008695652173913044
AL,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",278,2,0.007194244604316547
AL,O,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",35,1,0.02857142857142857
AL,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",903,5,0.005537098560354375
AR,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",9148,90,0.009838216003498032
AR,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",123,1,0.008130081300813009
AR,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1078,15,0.013914656771799629
AR,F,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",72,1,0.013888888888888888
AR,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",124,1,0.008064516129032258
AR,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",31,1,0.03225806451612903
AR,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5974,41,0.006863073317710077
AR,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",295,1,0.003389830508474576
AR,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",97,2,0.020618556701030927
AZ,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",16228,138,0.008503820557061868
AZ,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",197,2,0.01015228426395939
AZ,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",330,8,0.024242424242424242
AZ,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",132,1,0.007575757575757576
AZ,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",33938,203,0.005981495668572102
AZ,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",704,4,0.005681818181818182
AZ,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",109,2,0.01834862385321101
AZ,O,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",552,2,0.0036231884057971015
