Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc,Total_Services,Total_Beneficiaries,Total_Beneficiary_Days,Unique_Providers,Provider_Density_Per_Day,Provider_Coverage,Visits_Per_Beneficiary,Visits_per_Provider
F,"""Urban""",84,75,83,2,0.024096385542168676,0.02666666666666667,1.1066666666666667,41.5
F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",477419,339080,407410,5628,0.01381409391031148,0.016597853014037985,1.2015158664621919,72.38983653162758
F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",8319,5948,7317,100,0.013666803334700014,0.016812373907195696,1.230161398789509,73.17
F,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",558,361,545,4,0.007339449541284404,0.0110803324099723,1.5096952908587258,136.25
F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",38723,26771,32455,484,0.014912956401170852,0.018079264876171976,1.2123193007358708,67.05578512396694
F,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",3246,2512,2771,27,0.009743774810537712,0.010748407643312101,1.1031050955414012,102.62962962962963
F,"Micropolitan low commuting: primary flow 10% to <30% to a urban cluster of 10,000 to 49,999",201,144,193,1,0.0051813471502590676,0.006944444444444444,1.3402777777777777,193.0
F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",1241,803,1021,21,0.02056807051909892,0.026151930261519303,1.2714819427148194,48.61904761904762
F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",9997,6959,8289,108,0.013029315960912053,0.015519471188389136,1.1911194137088663,76.75
F,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",1112,792,939,8,0.008519701810436636,0.010101010101010102,1.1856060606060606,117.375
F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",1727,1266,1521,32,0.0210387902695595,0.02527646129541864,1.2014218009478672,47.53125
F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",4993,3464,4360,73,0.016743119266055047,0.02107390300230947,1.2586605080831408,59.726027397260275
F,"Small town high commuting: primary flow 30% or more to a urban cluster of 2,500 to 9,999",63,63,63,1,0.015873015873015872,0.015873015873015872,1.0,63.0
O,"""Rural""",64,57,64,2,0.03125,0.03508771929824561,1.1228070175438596,32.0
O,"""Urban""",572,392,539,2,0.0037105751391465678,0.00510204081632653,1.375,269.5
O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",612831,343356,582717,4657,0.007991872555631637,0.01356318223651254,1.69712193758082,125.1271204638179
O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",19269,8664,18450,119,0.006449864498644987,0.01373499538319483,2.1295013850415514,155.0420168067227
O,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",572,299,431,3,0.0069605568445475635,0.010033444816053512,1.4414715719063544,143.66666666666666
O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",26802,17139,23281,272,0.011683346935269104,0.01587023747009744,1.358363965225509,85.59191176470588
O,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1667,1112,1299,12,0.009237875288683603,0.01079136690647482,1.1681654676258992,108.25
O,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",1189,904,1184,11,0.009290540540540541,0.012168141592920354,1.3097345132743363,107.63636363636364
O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",15030,8882,14048,107,0.007616742596810934,0.012046836298131051,1.581625759963972,131.28971962616822
O,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",585,159,583,4,0.00686106346483705,0.025157232704402517,3.6666666666666665,145.75
O,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",2721,1643,2534,24,0.009471191791633781,0.014607425441265977,1.5423006695069994,105.58333333333333
O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",4393,2541,4219,33,0.007821758710594928,0.012987012987012988,1.660369933097206,127.84848484848484
O,"Small town high commuting: primary flow 30% or more to a urban cluster of 2,500 to 9,999",172,46,84,3,0.03571428571428571,0.06521739130434782,1.826086956521739,28.0
O,"Small town low commuting: primary flow 10% to <30% to a urban cluster of 2,500 to 9,999",674,203,674,3,0.004451038575667656,0.014778325123152709,3.3201970443349755,224.66666666666666
